rsp_id,rsp_id2,country,mig_ext_motivo,migrated_yn_5,CARI,income_per_capita_tier,mig_ext_intention,mig_ext_plan_12months,mig_ext_preparacion,motiv_cat
1974,rsp1974,GT,1,1,1,2,1,0,,econ-1
1977,rsp1977-1,HND,1 2,1,1,4,0,,,econ-1
1977,rsp1977-2,HND,1 2,1,1,4,0,,,econ-1
1982,rsp1982-1,HND,6 9,1,2,4,1,1,0,econ-oth-2
1982,rsp1982-2,HND,1 2,1,2,4,1,1,0,econ-1
1983,rsp1983,HND,2,1,2,1,1,0,,econ-1
1986,rsp1986-1,HND,99,1,1,1,1,0,,oth-1
1986,rsp1986-2,HND,2,1,1,1,1,0,,econ-1
1986,rsp1986-3,HND,1,1,1,1,1,0,,econ-1
1987,rsp1987,HND,1 2 8,1,1,1,1,0,,econ-1
1990,rsp1990-1,HND,1,1,2,1,0,,,econ-1
1990,rsp1990-2,HND,6 1,1,2,1,0,,,econ-1
1990,rsp1990-3,HND,1,1,2,1,0,,,econ-1
1990,rsp1990-4,HND,2,1,2,1,0,,,econ-1
1990,rsp1990-5,HND,2,1,2,1,0,,,econ-1
1991,rsp1991,HND,10,1,2,3,1,1,1,sec-1
1993,rsp1993,HND,1 2,1,1,2,0,,,econ-1
1996,rsp1996-1,SLV,16,1,2,2,1,0,,oth-1
1996,rsp1996-2,SLV,12,1,2,2,1,0,,reun-1
1996,rsp1996-3,SLV,12,1,2,2,1,0,,reun-1
1998,rsp1998-1,HND,1 2 11,1,1,4,1,1,1,econ-sec-2
1998,rsp1998-2,HND,1 2 11,1,1,4,1,1,1,econ-sec-2
1998,rsp1998-3,HND,2 1 11,1,1,4,1,1,1,econ-sec-2
2000,rsp2000,SLV,1 3 7,1,2,3,1,1,0,econ-clim-2
2001,rsp2001,SLV,1,1,2,4,0,,,econ-1
2007,rsp2007,HND,8,1,2,2,0,,,econ-1
2013,rsp2013,HND,1,1,1,1,1,1,0,econ-1
2017,rsp2017,HND,1 8,1,2,2,1,0,,econ-1
2019,rsp2019,HND,1 6,1,1,1,0,,,econ-1
2021,rsp2021,HND,2,1,1,1,1,0,,econ-1
2033,rsp2033,SLV,11,1,1,4,1,0,,sec-1
2035,rsp2035,SLV,2 11 1,1,2,3,0,,,econ-sec-2
2036,rsp2036,SLV,1 8 7,1,2,4,1,0,,econ-1
2038,rsp2038,SLV,1 2,1,1,4,1,0,,econ-1
2047,rsp2047,SLV,15,1,1,3,0,,,oth-1
2049,rsp2049,SLV,1 2,1,2,4,0,,,econ-1
2053,rsp2053-1,SLV,1 11 2,1,2,3,1,0,,econ-sec-2
2053,rsp2053-2,SLV,1,1,2,3,1,0,,econ-1
2053,rsp2053-3,SLV,12 1,1,2,3,1,0,,econ-reun-2
2053,rsp2053-4,SLV,1 16,1,2,3,1,0,,econ-oth-2
2060,rsp2060,SLV,11 1,1,2,4,0,,,econ-sec-2
2066,rsp2066,SLV,16,1,2,4,0,,,oth-1
2078,rsp2078,SLV,1 3 8,1,2,3,1,0,,econ-clim-2
2084,rsp2084,SLV,1 2,1,2,4,1,1,0,econ-1
2088,rsp2088,SLV,1,1,1,2,1,0,,econ-1
2098,rsp2098-1,HND,1 2,1,2,1,1,99,,econ-1
2098,rsp2098-2,HND,1 2,1,2,1,1,99,,econ-1
2099,rsp2099-1,HND,1 2,1,1,3,1,0,,econ-1
2099,rsp2099-2,HND,1 7 8,1,1,3,1,0,,econ-1
2101,rsp2101,HND,1 2,1,2,4,1,0,,econ-1
2104,rsp2104,HND,1,1,2,4,1,0,,econ-1
2105,rsp2105,HND,2 7,1,2,3,1,99,,econ-1
2108,rsp2108,HND,1,1,2,4,1,0,,econ-1
2111,rsp2111-1,HND,2 1,1,2,4,1,0,,econ-1
2111,rsp2111-2,HND,1,1,2,4,1,0,,econ-1
2113,rsp2113,SLV,1 11,1,3,2,1,0,,econ-sec-2
2116,rsp2116,SLV,1 2 11,1,2,2,1,1,1,econ-sec-2
2119,rsp2119,SLV,1 2 11,1,1,3,0,,,econ-sec-2
2122,rsp2122,SLV,1,1,3,2,1,1,0,econ-1
2138,rsp2138,SLV,12 1,1,1,1,1,0,,econ-reun-2
2149,rsp2149-1,SLV,12 15,1,2,4,0,,,reun-oth-2
2149,rsp2149-2,SLV,12 15,1,2,4,0,,,reun-oth-2
2156,rsp2156,SLV,1,1,2,5,0,,,econ-1
2167,rsp2167,SLV,1 2 7,1,1,3,0,,,econ-1
2176,rsp2176,HND,1 2,1,2,3,0,,,econ-1
2187,rsp2187,SLV,1 6,1,2,3,1,0,,econ-1
2189,rsp2189,HND,2 9,1,2,2,0,,,econ-oth-2
2201,rsp2201-1,GT,1,1,1,1,1,0,,econ-1
2201,rsp2201-2,GT,1,1,1,1,1,0,,econ-1
2206,rsp2206,HND,8,1,1,4,1,0,,econ-1
2212,rsp2212,HND,1 8,1,1,2,0,,,econ-1
2221,rsp2221,HND,1 6 8,1,1,1,0,,,econ-1
2226,rsp2226,HND,1,1,3,2,0,,,econ-1
2228,rsp2228,HND,1 2 6,1,2,3,99,,,econ-1
